candidate_name,filer_url,filing_name,filing_url,date_filed,report_type,reporting_period,total_contributions,total_monetary_contributions,total_inkind_contributions,total_expenditures,total_mcea_payments,return_of_mcea_funds,balance_beginning,balance_end,debt_balance,unitemized_total
Russell John Black,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7ztrg7q9tv,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7ztrg7q9tv/filings/d_01ks831v6re4cbsj29vd4e3042,,Mcea Campaign Finance,"April 21, 2026 - May 26, 2026",,,,$75.00,$668.00,$0.00,$7.00,$600.00,$0.00,
Russell John Black,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7ztrg7q9tv,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw7ztrg7q9tv/filings/d_01kppqwpwcfkx8nezeq0dykyx2,,Mcea Seed Money,"Unbounded - April 20, 2026","$1,000.00","$1,000.00",$0.00,$993.00,,,$0.00,$7.00,$0.00,$0.00
Timothy Becker,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkkpp6spf80a2a02sb7k377e,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkkpp6spf80a2a02sb7k377e/filings/d_01ksraezcffhyt772apcfv6fty,,Mcea Campaign Finance,"May 22, 2026 - May 26, 2026",,,,$18.00,$674.47,$0.00,$0.53,$657.00,$0.00,
Timothy Becker,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkkpp6spf80a2a02sb7k377e,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkkpp6spf80a2a02sb7k377e/filings/d_01ks0773mzecv8ssvjzmxstk5v,,Mcea Seed Money,"Unbounded - May 21, 2026","$1,000.00","$1,000.00",$0.00,$999.47,,,$0.00,$0.53,$0.00,$0.00
Clifford Noyes,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kp65hmj3f0cvb6rz3yxfgbcz,11-Day Pre-Primary Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kp65hmj3f0cvb6rz3yxfgbcz/filings/d_01kstgx2qyf7q8ww71zwys17my,,Campaign Finance,"January 01, 2026 - May 26, 2026",$0.00,$0.00,$0.00,$0.00,,,$0.00,$0.00,$0.00,$0.00
Douglas Colburn Carlisle Jr,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qag0hdrt0,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qag0hdrt0/filings/d_01ksrj9rt6fbxbpchj7p32ek67,,Mcea Campaign Finance,"April 14, 2026 - May 26, 2026",,,,$0.00,$625.28,$0.00,$49.72,$675.00,$0.00,
Douglas Colburn Carlisle Jr,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qag0hdrt0,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qag0hdrt0/filings/d_01kp43axnvfsx9h12ch7y7j967,,Mcea Seed Money,"Unbounded - April 13, 2026","$1,000.00","$1,000.00",$0.00,$950.28,,,$0.00,$49.72,$0.00,$0.00
Robin Upton-Sukeforth,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkkw7rqmf4xa536cep5rq04q,2026 Seed Money Report - Extended (7-Day Extension),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkkw7rqmf4xa536cep5rq04q/filings/d_01ksmhz212ff58ywjnj1a1nhbp,,Mcea Seed Money,"Unbounded - May 27, 2026","$1,000.00","$1,000.00",$0.00,"$1,000.00",,,$0.00,$0.00,$0.00,$0.00
Adrienne Paul,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qbjfd3zct,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qbjfd3zct/filings/d_01kt1jdrs4f7dajc5f6dpc1wq3,,Mcea Campaign Finance,"April 21, 2026 - May 26, 2026",,,,"$1,587.89","$3,323.13",$0.00,$1.87,"$1,737.11",$0.00,
Adrienne Paul,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qbjfd3zct,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qbjfd3zct/filings/d_01ksp01rdce6ev9n6xjvb1nk1v,,Mcea Campaign Finance,"April 21, 2026 - May 26, 2026",,,,"$1,217.89","$3,323.13",$0.00,$1.87,"$2,107.11",$0.00,
Adrienne Paul,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qbjfd3zct,48-Hour Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qbjfd3zct/filings/d_01ksnz6nxnewc96b46xp758dyp,,Twenty Four Hour,"May 27, 2026 - May 27, 2026",$0.00,$0.00,$0.00,"$1,745.00",,,,,,
Adrienne Paul,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qbjfd3zct,2026 Seed Money Report - Legislative (7-Day Extension),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qbjfd3zct/filings/d_01kpkqa1yker4t26ykebb8pram,,Mcea Seed Money,"Unbounded - April 20, 2026","$1,000.00","$1,000.00",$0.00,$998.13,,,$0.00,$1.87,$0.00,$800.00
Anthony M. Weaver,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kk2107j5f2esb7c3vm6702mt,11-Day Pre-Primary Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kk2107j5f2esb7c3vm6702mt/filings/d_01kt215gnwe81s67tktdn02kk8,,Campaign Finance,"January 01, 2026 - May 26, 2026",$0.00,$0.00,$0.00,$0.00,,,$0.00,$0.00,$0.00,$0.00
Annalyse Sarvinas,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjx6x0s7ferb3wwth1va070z,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjx6x0s7ferb3wwth1va070z/filings/d_01ksqd8xpae1886vf456w06ezn,,Mcea Campaign Finance,"May 20, 2026 - May 26, 2026",,,,$0.00,$660.99,$0.00,$14.01,$675.00,$0.00,
Annalyse Sarvinas,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjx6x0s7ferb3wwth1va070z,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjx6x0s7ferb3wwth1va070z/filings/d_01kr1s947mevwv1mmw3vgypt94,,Mcea Seed Money,"Unbounded - May 19, 2026","$1,000.00","$1,000.00",$0.00,$985.99,,,$0.00,$14.01,$0.00,$0.00
Ambureen Rana,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7py2t8eptvk536vv6t74av,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7py2t8eptvk536vv6t74av/filings/d_01kst3ws40etvbsxazny3ncj3j,,Mcea Campaign Finance,"May 21, 2026 - May 26, 2026",,,,$0.00,$661.92,$0.00,$13.08,$675.00,$0.00,
Ambureen Rana,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7py2t8eptvk536vv6t74av,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7py2t8eptvk536vv6t74av/filings/d_01ks1gc23af8kr942btj0bh8wc,,Mcea Seed Money,"Unbounded - May 20, 2026","$1,000.00","$1,000.00",$0.00,$986.92,,,$0.00,$13.08,$0.00,$0.00
Luke Dylan Jensen,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01km65r08ae83tjkrbf4dkrev9,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01km65r08ae83tjkrbf4dkrev9/filings/d_01ksrj1p3cfrs9ne98se86c3b5,,Mcea Campaign Finance,"May 21, 2026 - May 26, 2026",,,,$0.00,$675.00,$0.00,$0.00,$675.00,$0.00,
Luke Dylan Jensen,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01km65r08ae83tjkrbf4dkrev9,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01km65r08ae83tjkrbf4dkrev9/filings/d_01ks365dx9eb7sjcrhn1dmrzfc,,Mcea Seed Money,"Unbounded - May 20, 2026","$1,000.00","$1,000.00",$0.00,"$1,000.00",,,$0.00,$0.00,$0.00,"$1,000.00"
Sheila Lyman,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01km65aqy3fhpsyzmghz2yy0za,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01km65aqy3fhpsyzmghz2yy0za/filings/d_01ksr96herfj0bze58rmz7xf9w,,Mcea Campaign Finance,"April 22, 2026 - May 26, 2026",,,,$376.95,$675.00,$0.00,$0.00,$298.05,$0.00,
Sheila Lyman,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01km65aqy3fhpsyzmghz2yy0za,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01km65aqy3fhpsyzmghz2yy0za/filings/d_01kprggr45exvrx4e8v424gewb,,Mcea Seed Money,"Unbounded - April 21, 2026","$1,000.00","$1,000.00",$0.00,"$1,000.00",,,$0.00,$0.00,$0.00,$0.00
Arlie Hetrick Jr.,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjzxda0wf8pagve0ns51tw12,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjzxda0wf8pagve0ns51tw12/filings/d_01ksj88tzpexvt8fm6jgsg4nbx,,Mcea Campaign Finance,"May 21, 2026 - May 26, 2026",,,,$0.00,$635.00,$0.00,$40.00,$675.00,$379.50,
Arlie Hetrick Jr.,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjzxda0wf8pagve0ns51tw12,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjzxda0wf8pagve0ns51tw12/filings/d_01kry23a9re578s6tzs8f2tn17,,Mcea Seed Money,"Unbounded - May 20, 2026",$580.00,$580.00,$0.00,$540.00,,,$0.00,$40.00,$379.50,$465.00
Charles Edward Tilburg,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0c9fdgtr40,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0c9fdgtr40/filings/d_01ksqbx0d6es4awgbejewhph8y,,Mcea Campaign Finance,"April 22, 2026 - May 26, 2026",,,,$36.00,$670.54,$0.00,$4.46,$639.00,$475.00,
Charles Edward Tilburg,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0c9fdgtr40,2026 Seed Money Report - Legislative (7-Day Extension),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0c9fdgtr40/filings/d_01kpqzpqnyfqfaztvycga42ha4,,Mcea Seed Money,"January 01, 2026 - April 21, 2026",$0.00,$0.00,$0.00,$945.54,,,$950.00,$4.46,$475.00,$0.00
Charles Edward Tilburg,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0c9fdgtr40,2026 January Semiannual Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0c9fdgtr40/filings/d_01kf4f3w4re01aq3f5xctdz5kw,,Campaign Finance,"November 01, 2025 - December 31, 2025","$1,000.00","$1,000.00",$0.00,$50.00,,,$0.00,$950.00,$0.00,$55.00
Amy D. Kuhn,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat85e79st2re6fbvnhaf,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat85e79st2re6fbvnhaf/filings/d_01kt2gbwv2epzrbw9sez7jsjxw,,Mcea Campaign Finance,"April 20, 2026 - May 26, 2026",,,,$99.16,$674.81,$0.00,$0.19,$575.84,$0.00,
Amy D. Kuhn,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat85e79st2re6fbvnhaf,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat85e79st2re6fbvnhaf/filings/d_01ksqyssjae14989c2h3q6qpxe,,Mcea Campaign Finance,"April 20, 2026 - May 26, 2026",,,,$61.19,$674.81,$0.00,$0.19,$613.81,$0.00,
Amy D. Kuhn,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat85e79st2re6fbvnhaf,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat85e79st2re6fbvnhaf/filings/d_01kpc4n5gef52v33wjg67pevpx,,Mcea Seed Money,"Unbounded - April 19, 2026",$950.00,$950.00,$0.00,$949.81,,,$0.00,$0.19,$0.00,$0.00
Amy J Roeder,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw805eq8wtes,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw805eq8wtes/filings/d_01ksqyyn83fy1t6q5c11xa8wwn,,Mcea Campaign Finance,"April 20, 2026 - May 26, 2026",,,,$113.28,"$2,650.00",$0.00,$0.00,"$2,536.72",$0.00,
Amy J Roeder,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw805eq8wtes,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw805eq8wtes/filings/d_01kpk617hgecardmenxqr204gd,,Mcea Seed Money,"Unbounded - April 18, 2026","$3,000.00","$3,000.00",$0.00,"$3,000.00",,,$0.00,$0.00,$0.00,$0.00
Amy J Roeder,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw805eq8wtes,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw805eq8wtes/filings/d_01kpgwdeg6fjwan3ahv7kxsa7j,,Mcea Seed Money,"Unbounded - April 18, 2026","$3,100.00","$3,100.00",$0.00,"$1,137.32",,,$0.00,"$1,962.68",$0.00,$0.00
Caleb Joshua NESS,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qb17c3xm1,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qb17c3xm1/filings/d_01ksv7pxayezcv4ksvny3zk5fn,,Mcea Campaign Finance,"April 28, 2026 - May 26, 2026",,,,$0.00,$674.99,$0.00,$0.01,$675.00,$0.00,
Caleb Joshua NESS,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qb17c3xm1,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qb17c3xm1/filings/d_01kq8ht1wefbbvzwsnpb37kb4t,,Mcea Seed Money,"Unbounded - April 27, 2026","$1,000.00","$1,000.00",$0.00,$999.99,,,$0.00,$0.01,$0.00,$75.00
Cheryl Hewes,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjxc6qyvf5hb3rnjp3hrypzg,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjxc6qyvf5hb3rnjp3hrypzg/filings/d_01kstgqmeaf5jv54nbws171gy8,,Mcea Campaign Finance,"May 01, 2026 - May 26, 2026",,,,"$2,093.24","$2,650.00",$0.00,$0.00,$556.76,$0.00,
Cheryl Hewes,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjxc6qyvf5hb3rnjp3hrypzg,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kjxc6qyvf5hb3rnjp3hrypzg/filings/d_01kp969mz5fmtt9fyssgp937tx,,Mcea Seed Money,"Unbounded - April 30, 2026","$3,000.00","$3,000.00",$0.00,"$3,000.00",,,$0.00,$0.00,$0.00,$0.00
Anne Graham,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7mxyq2ext9hgbpd5abe40f,2026 Seed Money Report - Extended (7-Day Extension),https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7mxyq2ext9hgbpd5abe40f/filings/d_01ksn1d8fke9wb29x5pbrbwgs7,,Mcea Seed Money,"January 01, 2026 - May 27, 2026",$600.00,$600.00,$0.00,$600.00,,,$0.00,$0.00,$0.00,$0.00
Ayn Hanselmann,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kj8g9wepfwcvvr9evsxxerer,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kj8g9wepfwcvvr9evsxxerer/filings/d_01ksmr3v90ee4vt719458em97t,,Mcea Campaign Finance,"May 21, 2026 - May 26, 2026",,,,$0.00,$672.47,$0.00,$2.53,$675.00,$0.00,
Ayn Hanselmann,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kj8g9wepfwcvvr9evsxxerer,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kj8g9wepfwcvvr9evsxxerer/filings/d_01ks2rkzxwexvvng04604195x9,,Mcea Seed Money,"Unbounded - May 20, 2026","$1,000.00","$1,000.00",$0.00,$997.47,,,$0.00,$2.53,$0.00,$0.00
Bradley Moulton,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7pnsy8f6qb2cav67pygv7f,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7pnsy8f6qb2cav67pygv7f/filings/d_01ks2pb5amfferte0apsfgah2p,,Mcea Campaign Finance,"May 08, 2026 - May 26, 2026",,,,$0.00,$658.00,$0.00,$17.00,$675.00,$0.00,
Bradley Moulton,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7pnsy8f6qb2cav67pygv7f,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh7pnsy8f6qb2cav67pygv7f/filings/d_01kpraz757e5es4zbftb11nc4z,,Mcea Seed Money,"Unbounded - May 07, 2026",$50.00,$50.00,$0.00,$33.00,,,$0.00,$17.00,$0.00,$0.00
Christopher Alfred Lewey,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qbwrd7k2b,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qbwrd7k2b/filings/d_01kse9ca0pe45rx4grvv48ds0z,,Mcea Campaign Finance,"March 25, 2026 - May 26, 2026",,,,$184.18,$674.44,$0.00,$0.56,$490.82,$0.00,
Christopher Alfred Lewey,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qbwrd7k2b,2026 January Semiannual Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qbwrd7k2b/filings/d_01ksj57066fw3aeyeaaqz6a9kd,,Campaign Finance,"October 01, 2025 - December 31, 2025","$1,000.00","$1,000.00",$0.00,$42.18,,,$0.00,$957.82,$312.89,$300.00
Christopher Alfred Lewey,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qbwrd7k2b,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qbwrd7k2b/filings/d_01ksp1g2j8fkxsbqa5tgevgtq2,,Mcea Seed Money,"Unbounded - June 08, 2026","$1,000.00","$1,000.00",$0.00,"$1,183.62",,,$0.00,,$0.00,$300.00
Christopher Alfred Lewey,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qbwrd7k2b,2026 January Semiannual Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftve6dak61qbwrd7k2b/filings/d_01kf4f3w4qe2jtscj5t9jdwcyz,,Campaign Finance,"October 01, 2025 - December 31, 2025","$1,000.00","$1,000.00",$0.00,$42.18,,,$0.00,$957.82,$312.89,$300.00
Poppy T. Arford,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw800mmx66a2,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw800mmx66a2/filings/d_01kssvf8gje9m8ayqmymdcxe1w,,Mcea Campaign Finance,"April 04, 2026 - May 26, 2026",,,,$0.00,$675.00,$0.00,$0.00,$675.00,$0.00,
Poppy T. Arford,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw800mmx66a2,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kf4eat87emk8zw800mmx66a2/filings/d_01kn9w3hr4f3gtg669rmzw87b9,,Mcea Seed Money,"Unbounded - April 03, 2026",$0.00,$0.00,$0.00,$0.00,,,$0.00,$0.00,$0.00,$0.00
Cynthia Soma-Hernandez,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kka0qrbsfzdrf7brrnbrkkfa,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kka0qrbsfzdrf7brrnbrkkfa/filings/d_01kt47vxtzfxps4bnzdmz8djff,,Mcea Campaign Finance,"May 21, 2026 - May 26, 2026",,,,$0.00,$627.72,$0.00,$47.28,$675.00,$0.00,
Cynthia Soma-Hernandez,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kka0qrbsfzdrf7brrnbrkkfa,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kka0qrbsfzdrf7brrnbrkkfa/filings/d_01ks2xktdyec9bkbn006smvr98,,Mcea Seed Money,"Unbounded - May 20, 2026",$800.00,$800.00,$0.00,$752.72,,,$0.00,$47.28,$0.00,$0.00
Joshua D. Gerritsen,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0c9925ndzz,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0c9925ndzz/filings/d_01ksjwvx2re22t246q56cv7d0t,,Mcea Campaign Finance,"April 07, 2026 - May 26, 2026",,,,"$1,981.09","$3,277.55",$0.00,$47.45,"$1,343.91",$0.00,
Joshua D. Gerritsen,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0c9925ndzz,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0c9925ndzz/filings/d_01knhzv476e5kaqf4e183erk19,,Mcea Seed Money,"January 01, 2026 - April 06, 2026",$300.00,$300.00,$0.00,$888.55,,,$636.00,$47.45,$0.00,$0.00
Joshua D. Gerritsen,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0c9925ndzz,2026 January Semiannual Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kd8w6ftweefsxt0c9925ndzz/filings/d_01kf4f3w4re01aq3f5mj5s6357,,Campaign Finance,"November 06, 2024 - December 31, 2025",$700.00,$700.00,$0.00,$64.00,,,$0.00,$636.00,$0.00,$0.00
Clinton Phinney Jr.,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh991tnqfths1f70tf6e9k5x,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh991tnqfths1f70tf6e9k5x/filings/d_01ksttv5mxfcsvjcn1zbyzet6q,,Mcea Campaign Finance,"May 20, 2026 - May 26, 2026",,,,$0.00,"$3,325.00",$0.00,$0.00,"$3,325.00",$0.00,
Clinton Phinney Jr.,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh991tnqfths1f70tf6e9k5x,2026 Seed Money Report - Extended Deadline,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kh991tnqfths1f70tf6e9k5x/filings/d_01kryhr4czfe88bjxfy8mjeh25,,Mcea Seed Money,"Unbounded - May 19, 2026","$1,000.00","$1,000.00",$0.00,"$1,000.00",,,$0.00,$0.00,$0.00,$225.00
Kimberly J. Pomerleau,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdka2kqzvj,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdka2kqzvj/filings/d_01ksjhp913fcwbrgv7zdyz6j3s,,Mcea Campaign Finance,"April 15, 2026 - May 26, 2026",,,,"$2,258.76","$2,637.54",$0.00,$12.46,$391.24,$0.00,
Kimberly J. Pomerleau,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdka2kqzvj,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdka2kqzvj/filings/d_01kqweca06fz1r9rwey5jben8v,,Mcea Seed Money,"January 01, 2026 - April 14, 2026","$1,290.00","$1,290.00",$0.00,"$2,258.18",,,$980.64,$12.46,$0.00,$0.00
Kimberly J. Pomerleau,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdka2kqzvj,2026 January Semiannual Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdka2kqzvj/filings/d_01kqwebqy5ey8skwq51ax372w7,,Campaign Finance,"July 01, 2025 - December 31, 2025","$1,390.00","$1,390.00",$0.00,$409.36,,,$0.00,$980.64,$0.00,$0.00
Kimberly J. Pomerleau,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdka2kqzvj,2026 Seed Money Report - Legislative,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdka2kqzvj/filings/d_01kp5zvny6eyzv5jws984sjh1q,,Mcea Seed Money,"January 01, 2026 - April 14, 2026","$1,290.00","$1,290.00",$0.00,"$2,258.18",,,$980.64,$12.46,$0.00,$0.00
Kimberly J. Pomerleau,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdka2kqzvj,2026 January Semiannual Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdka2kqzvj/filings/d_01kp5zjrsyeb6vn47m15sx4w5y,,Campaign Finance,"July 01, 2025 - December 31, 2025","$1,390.00","$1,390.00",$0.00,$508.80,,,$0.00,$881.20,$0.00,$0.00
Kimberly J. Pomerleau,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdka2kqzvj,2026 January Semiannual Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01k89h8gcjegf9qpwdka2kqzvj/filings/d_01kf4f3w4re01aq3f5s2jmd750,,Campaign Finance,"July 01, 2025 - December 31, 2025","$1,390.00","$1,390.00",$0.00,$508.80,,,$0.00,$881.20,$0.00,$0.00
Dexter 'Buzz' Bridges,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkvvwpprek3b2x5fyxvmbmpb,11-Day Pre-Primary MCEA Report,https://www.mainecampaignfinancedisclosure.com/public/filers/f_01kkvvwpprek3b2x5fyxvmbmpb/filings/d_01ksqhg0ggf9qv26rr092tqavh,,Mcea Campaign Finance,"April 18, 2026 - May 26, 2026",,,,"$1,138.00","$3,325.00",$0.00,$0.00,"$2,187.00",$0.00,
